INFO 2023-10-30 01:02:56,940 Watching for file changes with StatReloader
INFO 2023-10-30 01:25:59,577 "GET /static/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 80704
INFO 2023-10-30 01:25:59,581 "GET /static/dist/js/demo.js HTTP/1.1" 200 13042
INFO 2023-10-30 01:25:59,583 "GET /static/dist/js/adminlte.js HTTP/1.1" 200 59416
WARNING 2023-10-30 01:25:59,594 Not Found: /favicon.ico
WARNING 2023-10-30 01:25:59,594 "GET /favicon.ico HTTP/1.1" 404 6308
INFO 2023-10-30 01:25:59,596 "GET /static/dist/css/adminlte.min.css HTTP/1.1" 200 686718
INFO 2023-10-30 01:25:59,618 "GET /static/plugins/Datatables/datatables.min.js HTTP/1.1" 200 2042927
INFO 2023-10-30 01:25:59,644 "GET /static/plugins/fontawesome-free/webfonts/fa-regular-400.woff2 HTTP/1.1" 200 13584
INFO 2023-10-30 01:25:59,644 "GET /static/plugins/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 79444
WARNING 2023-10-30 01:25:59,737 Not Found: /favicon.ico
WARNING 2023-10-30 01:25:59,738 "GET /favicon.ico HTTP/1.1" 404 6308
INFO 2023-10-30 01:27:59,836 "POST /site-config HTTP/1.1" 200 10528
INFO 2023-10-30 01:28:12,983 "POST /site-config HTTP/1.1" 200 10528
INFO 2023-10-30 01:28:15,701 "POST /site-config HTTP/1.1" 200 10528
INFO 2023-10-30 01:33:03,261 "GET /site-config HTTP/1.1" 200 10545
INFO 2023-10-30 01:33:04,033 "GET /site-config HTTP/1.1" 200 10545
INFO 2023-10-30 01:33:04,211 "GET /site-config HTTP/1.1" 200 10545
INFO 2023-10-30 01:33:04,411 "GET /site-config HTTP/1.1" 200 10545
INFO 2023-10-30 01:33:04,594 "GET /site-config HTTP/1.1" 200 10545
INFO 2023-10-30 01:37:16,731 "GET /site-config HTTP/1.1" 200 10518
INFO 2023-10-30 01:37:17,680 "GET /site-config HTTP/1.1" 200 10518
INFO 2023-10-30 01:37:17,852 "GET /site-config HTTP/1.1" 200 10518
INFO 2023-10-30 01:37:18,027 "GET /site-config HTTP/1.1" 200 10518
INFO 2023-10-30 01:37:18,198 "GET /site-config HTTP/1.1" 200 10518
INFO 2023-10-30 01:42:31,690 C:\Users\Harry\Desktop\Django-School-Management-System\apps\corecode\views.py changed, reloading.
INFO 2023-10-30 01:42:32,225 Watching for file changes with StatReloader
INFO 2023-10-30 01:42:55,326 C:\Users\Harry\Desktop\Django-School-Management-System\apps\corecode\views.py changed, reloading.
INFO 2023-10-30 01:42:55,829 Watching for file changes with StatReloader
INFO 2023-10-30 01:43:06,504 C:\Users\Harry\Desktop\Django-School-Management-System\apps\corecode\views.py changed, reloading.
INFO 2023-10-30 01:43:07,023 Watching for file changes with StatReloader
INFO 2023-10-30 01:47:18,163 "GET /site-config HTTP/1.1" 200 10098
INFO 2023-10-30 01:53:57,716 "GET /site-config HTTP/1.1" 200 10376
INFO 2023-10-30 01:54:00,173 "POST /site-config HTTP/1.1" 200 10408
INFO 2023-10-30 01:54:01,681 "POST /site-config HTTP/1.1" 200 10398
INFO 2023-10-30 01:54:02,835 "POST /site-config HTTP/1.1" 200 10390
INFO 2023-10-30 01:54:03,067 "POST /site-config HTTP/1.1" 200 10390
INFO 2023-10-30 01:54:04,557 "POST /site-config HTTP/1.1" 200 10390
INFO 2023-10-30 01:54:06,953 "POST /site-config HTTP/1.1" 200 10390
INFO 2023-10-30 01:54:14,670 "POST /site-config HTTP/1.1" 200 10390
INFO 2023-10-30 01:54:15,462 "GET / HTTP/1.1" 200 9030
INFO 2023-10-30 01:54:16,425 "GET /site-config HTTP/1.1" 200 10376
INFO 2023-10-30 01:54:26,586 "GET /site-config HTTP/1.1" 200 10521
INFO 2023-10-30 02:04:03,322 "POST /site-config HTTP/1.1" 200 10528
INFO 2023-10-30 02:04:05,081 "GET / HTTP/1.1" 200 9030
INFO 2023-10-30 02:04:05,640 "GET /site-config HTTP/1.1" 200 10527
INFO 2023-10-30 02:04:11,532 "POST /site-config HTTP/1.1" 200 10549
INFO 2023-10-30 02:04:14,391 "GET / HTTP/1.1" 200 9030
INFO 2023-10-30 02:04:15,215 "GET /site-config HTTP/1.1" 200 10527
INFO 2023-10-30 02:04:18,055 "POST /site-config HTTP/1.1" 200 10554
INFO 2023-10-30 02:04:19,887 "GET / HTTP/1.1" 200 9030
INFO 2023-10-30 02:04:20,728 "GET /site-config HTTP/1.1" 200 10527
INFO 2023-10-30 02:05:03,204 "GET /site-config HTTP/1.1" 200 10527
INFO 2023-10-30 02:05:03,789 "GET /site-config HTTP/1.1" 200 10527
INFO 2023-10-30 02:05:03,968 "GET /site-config HTTP/1.1" 200 10527
INFO 2023-10-30 02:05:04,156 "GET /site-config HTTP/1.1" 200 10527
INFO 2023-10-30 02:05:04,339 "GET /site-config HTTP/1.1" 200 10527
INFO 2023-10-30 02:05:04,505 "GET /site-config HTTP/1.1" 200 10527
INFO 2023-10-30 02:05:05,076 "GET / HTTP/1.1" 200 9030
INFO 2023-10-30 02:05:05,878 "GET /site-config HTTP/1.1" 200 10527
